Nom_Placette;XUTM;YUTM;h1;h2;h3
HKO096-M8;376150,6014;444603,068;7;8;10
HKO096-M9;376154,4839;444600,6305;7;9;9
HKO096-M10;375633,2893;444484,9275;6,5;7,5;9
HKO096-M11;375617,967;444484,2852;8;9;10
HKO096-M12;375746,5316;444077,7024;8;9;6
HKO096-M13;375761,7537;444086,305;10;14;8
HKO096-M14;375750,7791;444098,5918;9;10;10
HKO096-M15;375778,3545;444209,8847;6,5;7,5;8
HKO096-M16;375789,5185;444173,7174;4;5;6,5
HKO096-M17;375769,1269;444200,7211;5;8;10
HKO096-M18;375785,9145;444217,3922;11;12;14
HKO096-M19;375752,2611;444207,9304;5;6;8
HKO096-M20;375728,7184;444285,0207;3;5;4
HKO096-M21;375751,4358;444253,9231;9;13;10,5
HKO096-M22;375748,9136;444276,8118;4;4;7
HKO096-M23;374784,3749;444549,7763;9;10;13
HKO096-M24;374786,6155;444564,3668;10,5;9;12
HKO096-M25;374796,2127;444599,9529;7;8;10
HKO096-M26;374838,3033;444608,8499;7;7;8
HKO096-M27;374849,5256;444615,2467;10;13;14
HKO096-M28;374853,143;444581,6324;8;10;11
HKO096-M29;374901,762;444574,6002;4;6;13,5
HKO096-M30;374896,5603;444586,5475;7,5;6;5
HKO096-M31;374855,4412;444557,5278;10;11;12
HKO096-M32;374850,4633;444570,6909;2,5;3,5;5
HKO096-M33;374905,6027;444541,87;10;7;NA
HKO096-M34;374905,0441;444539,328;10;10;12
HKO096-M35;375213,1783;444408,0041;12;16;18
HKO096-M36;375194,3339;444429,6992;8;8;9
HKO096-M37;375206,1687;444397,0686;10;7;8
HKO096-M38;NA;NA;9;10;12
HKO096-M39;375258,8384;444429,1682;7;9;13
HKO096-M40;376422,7221;444196,291;5;9;11
HKO096-M41;376398,7291;444187,7003;8;9;11
HKO096-M42;376460,5448;444250,965;9;10;12
HKO096-M43;376464,4358;444254,7186;16;11;11
HKO096-M44;376458,8078;444279,9332;11,5;12;7,5
HKO096-M45;376487,4044;444326,4385;6;6;8
HKO096-M46;376468,284;444308,665;17;8;7
HKO096-M47;376428,1242;444249,9036;10;10;11
HKO096-M48;376450,794;444183,6494;11;10;12
HKO096-M49;376459,8977;444183,4159;13;12,5;12,5
HKO096-M50;376482,8666;444173,7662;9;9;9
HKO096-M51;374899,5035;444949,2811;9;7;8,5
HKO096-M52;374880,0232;444912,2714;7;10,5;9
HKO096-M53;374912,0959;444902,7192;10;10;12
HKO096-M54;374910,5656;444920,0788;7;9;10
HKO096-M55;374926,9137;444940,067;13,5;9,5;9
HKO096-M56;374838,8871;445031,6193;11;13;10,5
HKO096-M57;374878,3662;444998,7293;8,5;7;12
HKO096-M58;374835,7054;444978,7774;8;6;5
HKO096-M59;374814,8018;444956,2526;10;10;8
HKO096-M60;374811,2901;444985,9973;8;8;9
HKO096-M61;374781,8425;444967,0222;7;7;11
HKO096-M62;374785,3243;444915,6084;5;7,5;8,5
HKO096-M63;374786,2783;444882,8822;6;5;4
HKO096-M64;374792,0126;444935,0572;5;7;9
HKO096-M65;375170,6796;445150,7841;7;10;9
HKO096-M66;375203,6716;445163,8949;9;9;12
HKO096-M67;375239,6836;445193,1429;5;8,5;10
HKO096-M68;375247,9846;445174,4473;8;9;14
HKO096-M69;375261,0844;445173,7659;7;8;10
HKO096-M70;375257,0774;445166,3641;8;9;12
HKO096-M71;375188,2484;445170,439;8;10;11
MAW744-M1;403287,7301;429820,5044;8,5;10,5;9
MAW744-M2;403280,55;429856,4399;9;10;12
MAW744-M3;403173,1971;429872,359;7;8,5;9
MAW744-M4;403159,5584;429890,1714;8,5;7;7,5
MAW744-M5;403161,3002;429856,563;8,5;7,5;9,5
MAW744-M6;402998,601;429929,9139;8;13,5;9
MAW744-M7;403003,7478;429967,8266;10;7;10
MAW744-M8;402966,0787;429940,0074;3,5;4;4,5
MAW744-M9;402951,214;429953,2886;NA;NA;NA
MAW744-M10;403399,0734;429797,8379;10;9,5;12
MAW744-M11;403387,1986;429803,4881;9,5;8,5;8
MAW744-M12;403377,5478;429812,3418;7;7,5;8,5
MAW744-M13;403391,7866;429730,3006;9;9;11
MAW744-M14;403512,8562;429880,079;6,5;7,5;10,5
MAW744-M15;403520,8349;429864,8152;6;6,5;10
MAW744-M16;403551,2582;429865,005;13;13;15
MAW744-M17;403499,8198;429835,8732;10,5;11,5;8
MAW744-M18;403623,6627;429767,4273;8;10;11,5
MAW744-M19;403632,5591;429780,7945;NA;NA;NA
MAW744-M20;403707,9972;429934,1575;6,5;7,5;9
MAW744-M21;403731,6057;430001,7886;10;8,5;8,5
MAW744-M22;403745,9399;430012,3864;8,5;11,5;11,5
MAW744-M23;403748,4839;430002,8767;7,5;9,5;12,5
MAW744-M24;403702,6372;430012,652;7;7,5;10
MAW744-M25;403686,4305;430016,6484;7;8;9,5
MAW744-M26;403689,6765;430041,9605;9;9,5;13
MAW744-M27;403666,4564;430028,1659;10;10,5;12
MAW744-M28;403701,6849;430058,4198;6,5;11;14,5
MAW744-M29;403869,9929;429932,4436;6,5;8;8
MAW744-M30;403925,9348;429914,0353;7,5;9;11,5
MAW744-M31;403895,4252;429937,9449;7,5;12;13
MAW744-M32;403807,9064;429913,9352;4,5;5,5;12
MAW744-M33;403820,6735;429912,2639;8;9,5;9,5
MAW744-M34;403813,5938;429938,0288;10;10;10
MAW744-M35;403721,4069;429909,4915;6;8;10
MAW744-M36;403747,1653;429908,1385;7,5;7,5;8
MAW744-M37;403753,2901;429925,7093;7;10,5;9,5
MAW744-M38;403747,7736;429851,7585;13;13;9
MAW744-M39;403775,271;429813,9229;7;11;11,5
MAW744-M40;403795,1067;429775,5424;14,5;15;16
MAW744-M41;403935,2356;429780,2629;5,5;8;7
MAW744-M42;403923,7719;429753,6326;5;8;15
MAW744-M43;403878,1458;429762,081;8,2;8;12,5
MAW744-M44;403859,1114;429823,8968;10;8;6,5
MAW744-M45;403856,3169;429805,6592;13;15;14,5
MAW744-M46;403817,2604;429832,2308;11;11,5;11,5
MAW744-M47;403814,7733;429788,8985;10;10,5;12,5
MAW744-MA;403759,6593;429856,7209;5;5;5,5
MAW744-MB;403745,1939;429826,4456;8;8;8,5
MAW744-MC;403805,1006;429776,4166;7,5;8;9
MAW744-MD;403915,2598;429790,2327;6,5;7;7,5
MAW744-ME;403918,8844;429751,6478;6,5;7;10
MAW744-MF;403949,6383;429749,4053;12,5;13;14
MAW744-MG;403873,3734;429764,0758;9;10;17
MAW744-MH;403812,588;429823,3917;4,5;6;7
MAW744-MI;403803,7238;429841,4201;10;12;15
MAW744-M48;403820,1196;429371,796;8;5,5;6
MAW744-M49;403815,0573;429416,0203;8,5;9;8,5
MAW744-M50;403804,8651;429438,3614;7;6;13,5
MAW744-M51;403803,6137;429409,0675;10;11;11,5
MAW744-M52;403915,4122;429505,3507;7;8,5;9
MAW744-M53;403934,8536;429515,6118;7;11;10
MAW744-M54;403950,7511;429534,8308;12,5;12,5;11
MAW744-M55;404082,5015;429489,3715;5;9,5;13
MAW744-M56;404101,9534;429509,9135;3,5;4;4
MAW744-M57;404071,1623;429475,8963;7;7;11,5
MAW744-M58;404127,9253;429500,1588;7,5;8;8,5
MAW744-M59;404118,1422;429488,2296;15;11,5;11
MAW744-M60;404101,2708;429493,8848;8,5;15,5;17
MAW744-M61;404272,5316;429213,1399;9,5;10;7,5
MAW744-M62;404291,0835;429222,1859;17;6;6,5
MAW744-M63;404303,5865;429179,1701;8,5;10;12
MAW744-M64;404256,5806;429141,4106;8;10;7
MAW744-M65;404292,9867;429128,55;9;10,5;7,5
MAW744-M66;404323,9864;429149,4119;10,5;10,5;6,5
MAW744-M67;404022,846;428916,1316;6,5;9;5,5
MAW744-M68;404048,924;428901,4021;7,5;6;13
MAW744-M69;404020,012;428967,9814;10,5;8;7
MAW744-M70;403995,1741;429001,0606;NA;NA;NA
MAW744-M71;404588,6776;429026,5454;11;4,5;4,5
MAW744-M72;404567,3839;429050,9981;9;7,5;10,5
MAW744-M73;404600,9228;429057,4863;19,5;10,5;11
MAW744-M74;404659,2914;429022,7151;10;9,5;10
MAW744-M75;404520,9407;429020,5341;6;5,5;5
MAW745-M1;403647,9852;428907,6713;10,5;5;5,5
MAW745-M2;403669,8772;428925,447;8,5;6;5,5
MAW745-M3;403691,8551;428918,6811;8;13;13,5
MAW745-M4;403700,9465;428905,6271;7,5;7,5;9,5
MAW745-M5;402979,9675;429519,7998;8,5;9;13,5
MAW745-M6;402963,9149;429565,5833;8,5;9;10,5
MAW745-M7;402959,9468;429486,3244;9;13;12,5
MAW745-M8;402973,6292;429510,7414;10,5;10;5
MAW745-M9;403002,5523;429563,3324;9;11;9,5
MAW745-M10;403010,4031;429531,7075;10;11;13,5
MAW745-M11;403019,6814;429484,715;15,5;12,5;15
MAW745-M12;402984,9166;429473,9172;8,5;8,5;11,5
MAW745-M13;402990,8761;429438,7568;11;8;6
MAW745-M14;403088,6822;429424,395;11;10;7
MAW745-M15;403470,448;428806,2598;13,5;7,5;7
MAW745-M16;403442,6836;428800,6504;11;8;10
MAW745-M17;403418,8343;428823,2267;8;9;11,5
MAW745-M18;403394,2943;428821,9253;5,5;6,5;9,5
MAW745-M19;403456,936;428731,4328;6,5;7;8
MAW745-M20;403503,8442;428673,4575;7,5;8;9
MAW745-M21;403479,8582;428671,0501;11;9,5;11,5
MAW745-M22;403493,7482;428681,4273;7;7;8,5
MAW745-M23;403486,7647;428692,8209;7,5;16;9,5
MAW745-M24;402891,2113;429373,747;16,5;9,5;16
MAW745-M25;402897,1716;429339,3603;7,5;8,5;9,5
MAW745-M26;402921,6081;429348,0684;12;11,5;6,5
MAW745-M27;402942,589;429343,6248;6,5;7,5;5
MAW745-M28;403450,3919;429278,6518;11;11,5;13,5
MAW745-M29;403468,1329;429254,8658;9;9;9,5
MAW745-M30;403427,2902;429272,1532;9;10;11
MAW745-M31;403343,1976;429341,4428;3;5,5;9,5
MAW745-M32;402713,9681;429663,5666;8,5;15;11,5
MAW745-M33;402813,5435;429749,5804;8,5;9;10
MAW745-M34;402810,559;429762,5176;10,5;7;8,5
MAW745-M35;402816,4565;429774,7824;10,5;9;9
MAW745-M36;402832,3405;429780,7355;8;9;9,5
MAW745-M37;402865,8995;429806,6796;16,5;13,5;9
MAW745-M38;402879,2297;429812,6354;7,5;8;11
MAW745-M39;402882,57;429821,5863;NA;NA;NA
MAW745-M40;402849,6683;429787,1294;10,5;8,5;11
MAW745-M41;402658,0464;429808,4427;8,5;9;9
MAW745-M42;403347,9858;429462,5985;7,5;9,5;12,5
MAW745-M43;403318,6549;429445,1621;6,5;8;10
MAW745-M44;403340,8364;429420,5976;7,5;8,5;11,5
MAW745-M45;403289,578;429350,8946;14;17;8,5
MAW745-M46;403121,5441;429097,4706;8;11,5;12
MAW745-M47;403144,3921;429073,1265;6;6,5;10,5
MAW745-M48;402350,3076;429426,3761;5;6;8,5
MAW745-M49;402341,7499;429418,6466;6;6,5;7,5
MAW745-M50;402338,7222;429390,0178;6;6,5;7
MAW745-M51;402266,2742;429445,1462;11;12;16,5
MAW745-M52;402244,6436;429465,2885;9;9,5;11
MAW745-M53;402261,931;429432,7693;7,5;9,5;10
MAW745-M54;402273,255;429751,2471;7,5;9,5;12
MAW745-M55;402313,0164;429762,0394;7;9,5;12,5
MAW745-M56;402435,5539;429933,4828;5,5;3,5;7
MAW745-M57;402379,7792;429899,0498;12,5;11;12
MAW745-M58;403198,3081;429243,3148;9;9;11
MAW745-M59;403166,6706;429250,312;9;10;11
MAW745-M60;403085,8527;429157,2033;9,5;11;13
MAW745-M61;403102,9009;429215,334;6;7;11,5
MAW745-M62;403120,7255;429165,0163;5;6;6,5
